1647962077.000000, 1647962077.000000, 1647962077.000000
32.000000, 32.000000, 32.000000
-19,5,-61
-21,4,-57
-21,4,-58
-17,2,-62
-15,3,-64
-19,2,-60
-19,2,-57
-19,2,-63
-18,12,-55
-15,3,-62
-18,4,-61
-18,4,-62
-22,3,-56
-25,1,-59
-28,0,-63
-25,1,-63
-20,-3,-66
-29,-5,-65
-36,-6,-71
-22,-10,-56
-26,-10,-55
-27,-5,-61
-23,-5,-54
-20,-13,-61
-13,-5,-47
-10,-4,-47
-15,-6,-54
-13,-5,-53
-14,-3,-54
-22,-5,-56
-17,-6,-60
-23,-6,-56
-16,-8,-58
-25,-12,-58
-25,-12,-59
-25,-16,-56
-27,-18,-56
-24,-15,-59
-20,-16,-66
-39,-17,-63
-39,16,-48
-40,-2,-44
-6,18,-72
-1,16,-65
-32,1,-57
-30,-2,-62
-33,-9,-61
-36,-9,-54
-35,-10,-73
-55,-23,-65
-42,-8,-52
-16,5,-32
-15,5,-31
-3,11,-45
-3,0,-50
-30,-1,-76
-31,-6,-74
-27,3,-71
-25,0,-61
-26,-2,-59
-26,-6,-54
-28,7,-57
-25,-1,-57
-26,-3,-56
-27,-1,-57
-27,0,-59
-26,0,-57
-26,-5,-59
-28,-3,-59
-27,-4,-54
-29,-4,-56
-27,-9,-52
-29,-9,-57
-26,-10,-58
-28,-6,-57
-28,-5,-56
-31,-4,-56
-31,-4,-57
-29,-6,-53
-30,-6,-51
-32,-4,-52
-31,-3,-54
-31,-5,-58
-29,-6,-57
-30,-4,-57
-29,-1,-58
-30,-1,-58
-31,-1,-52
-31,-1,-49
-34,2,-61
-30,-6,-54
-14,-26,-59
-30,-2,-63
-29,-1,-60
-28,1,-55
-28,-1,-57
-27,3,-47
-27,4,-56
-27,3,-58
-26,-1,-64
-26,2,-63
-23,6,-58
-25,8,-65
-24,1,-53
-22,4,-52
-17,4,-56
1,-13,-76
-7,-5,-70
-9,2,-65
-8,0,-62
-4,-2,-56
-5,0,-60
0,8,-63
-14,2,-68
-22,-2,-74
-14,-1,-73
-12,-2,-72
1,5,-62
-18,-4,-59
-26,-12,-65
-4,-13,-55
-24,-9,-55
-23,-10,-48
-24,-5,-47
-29,-5,-57
-27,-7,-73
-35,-10,-72
-33,-6,-71
-47,-15,-67
-50,-18,-65
12,-23,-30
-85,-16,-45
-60,-30,-28
-42,-26,-33
-57,-18,-26
-39,-30,-22
-53,-30,-25
-53,-28,-15
-55,-33,-20
-60,-33,-9
-44,-40,-14
-41,-42,-14
-51,-40,-13
-41,-40,-12
-39,-39,-14
-33,-40,-13
-42,-40,-13
-34,-43,-14
-37,-43,-14
-38,-44,-11
-33,-45,-8
-37,-46,-9
-38,-48,-9
-36,-50,-5
-38,-49,-5
-41,-48,-5
-42,-49,-4
-43,-48,-5
-45,-48,-4
-44,-49,-6
-41,-50,-3
-42,-47,-1
-40,-49,-1
-40,-47,-3
-43,-47,-3
-46,-43,-4
-40,-43,-4
-48,-39,-7
-35,-44,-2
-59,-47,-10
-49,-49,-9
-49,-46,-8
-47,-45,-9
-41,-46,-8
-45,-49,-8
-46,-47,-6
-41,-45,-5
-43,-46,-4
-44,-47,-3
-43,-45,-2
-39,-48,-2
-36,-49,0
-44,-47,-3
-41,-51,2
-38,-53,5
-40,-49,1
-39,-46,-2
-34,-46,0
-39,-51,4
-39,-51,6
-36,-50,0
-41,-50,0
-42,-50,1
-40,-48,0
-38,-50,2
-40,-45,-1
-41,-43,-1
-44,-32,-5
-49,-60,-3
-53,-39,-16
-37,-47,-13
-14,-46,-14
-32,-44,-29
-32,-45,-20
-48,-56,-9
-35,-36,-17
-38,-35,-30
-35,-48,-19
-39,-40,-19
-34,-38,-16
-47,-36,-13
-62,-41,-22
-56,-35,-15
-42,-43,-4
-26,-40,2
-12,-21,39
2,-16,48
-38,7,47
-37,17,46
-24,18,44
-11,17,46
-6,35,79
20,42,82
25,33,77
7,37,71
7,38,66
24,35,64
20,37,57
14,43,50
12,57,42
11,24,42
5,27,51
13,22,54
13,20,57
12,22,58
9,25,55
7,30,52
11,21,46
15,3,60
23,3,73
12,15,71
7,17,64
18,17,70
14,21,64
5,44,53
-3,56,46
3,39,47
14,37,58
7,35,61
4,29,52
8,30,54
4,28,54
2,27,51
4,27,54
6,30,60
7,36,60
9,30,60
11,27,58
12,28,56
13,28,56
12,24,57
8,28,59
20,27,56
4,23,52
8,26,55
24,19,60
16,18,55
7,30,57
6,30,60
11,33,68
10,36,66
9,33,63
15,25,55
15,21,50
20,14,41
18,11,39
21,7,49
19,9,52
-4,20,60
4,24,69
8,18,67
3,17,63
7,15,65
12,14,62
12,17,59
7,21,65
4,24,69
1,24,60
0,30,65
0,30,61
2,27,59
1,27,57
2,25,57
0,25,58
1,23,61
0,23,62
-1,21,62
1,20,64
1,20,64
2,18,62
3,17,63
3,17,62
3,18,62
5,18,65
5,19,61
4,20,59
4,18,60
6,18,63
6,18,62
7,18,60
17,17,63
18,19,61
14,17,51
10,21,59
9,21,58
12,19,56
14,20,55
16,23,59
19,24,59
19,26,55
24,24,58
22,24,56
24,23,54
25,24,54
27,24,53
24,22,50
13,23,51
14,22,52
16,19,53
20,18,56
20,17,57
22,16,58
22,15,59
21,17,61
21,17,60
17,17,60
16,19,61
15,18,59
14,18,58
15,18,58
16,20,59
15,20,57
11,21,57
10,21,56
13,20,58
14,21,61
10,24,59
12,24,62
12,25,63
9,25,60
