1628003899.000000, 1628003899.000000, 1628003899.000000
32.000000, 32.000000, 32.000000
-22,-4,59
-22,-4,60
-23,-4,58
-22,-5,59
-22,-5,60
-22,-5,61
-22,-4,61
-23,-4,61
-23,-3,60
-23,-3,60
-22,-5,61
-23,-5,60
-22,-5,59
-22,-5,59
-22,-4,59
-22,-3,58
-22,-4,59
-22,-3,59
-22,-4,60
-23,-4,59
-22,-5,60
-23,-4,61
-23,-4,60
-23,-4,60
-23,-3,61
-22,-4,60
-22,-5,60
-22,-4,60
-22,-5,59
-22,-4,59
-22,-4,61
-22,-4,60
-22,-4,59
-22,-4,60
-23,-3,60
-22,-3,61
-22,-3,61
-22,-4,60
-22,-4,59
-22,-4,60
-22,-4,60
-21,-4,60
-22,-4,60
-22,-4,59
-22,-5,61
-22,-5,60
-22,-5,59
-22,-5,60
-22,-4,61
-22,-4,60
-22,-3,59
-22,-4,59
-23,-3,60
-22,-3,61
-22,-4,61
-22,-3,60
-21,-4,60
-22,-4,59
-22,-3,60
-22,-3,61
-22,-3,60
-22,-3,60
-22,-4,59
-22,-4,60
-22,-3,60
-22,-3,61
-22,-3,59
-22,-3,59
-22,-3,60
-22,-3,60
-22,-3,60
-23,-4,60
-23,-3,59
-23,-3,60
-23,-3,60
-22,-3,60
-22,-3,60
-22,-3,60
-22,-3,59
-22,-3,59
-22,-3,60
-23,-3,60
-23,-2,60
-22,-3,60
-22,-3,61
-22,-3,60
-23,-4,60
-22,-3,60
-22,-3,60
-22,-3,60
-22,-3,60
-22,-4,59
-22,-4,59
-22,-3,60
-22,-4,61
-22,-3,59
-22,-3,60
-22,-4,61
-22,-3,59
-22,-3,60
-23,-4,60
-23,-4,59
-23,-3,60
-22,-3,60
-22,-3,59
-22,-4,60
-22,-4,60
-22,-4,59
-22,-3,60
-22,-4,60
-22,-4,59
-22,-4,59
-22,-4,60
-22,-3,61
-22,-3,60
-23,-4,60
-22,-4,60
-23,-4,60
-22,-3,60
-22,-3,60
-22,-4,60
-22,-3,60
-22,-3,60
-22,-4,60
-22,-4,60
-22,-4,60
-22,-4,60
-22,-3,59
-22,-3,60
-22,-3,60
-22,-3,60
-22,-4,60
-22,-3,60
-22,-3,60
-22,-3,60
-22,-3,61
-22,-3,60
-22,-4,60
-22,-3,60
-22,-3,60
-22,-3,60
-22,-2,59
-22,-3,59
-22,-3,59
-22,-2,59
-22,-4,61
-22,-3,61
-22,-4,61
-22,-4,61
-23,-4,61
-23,-4,60
-22,-5,60
-22,-4,61
-22,-3,60
-22,-3,60
-22,-2,59
-22,-2,59
-22,-2,59
-22,-3,59
-22,-3,59
-22,-4,60
-22,-5,61
-22,-5,60
-23,-4,59
-22,-4,60
-22,-4,61
-23,-5,60
-23,-4,59
-22,-3,61
-22,-2,61
-22,-1,60
-22,-2,60
-22,-3,60
-22,-4,59
-22,-5,59
-22,-5,59
-22,-5,59
-22,-4,59
-22,-5,60
-23,-4,60
-22,-5,59
-23,-3,59
-23,-3,60
-23,-3,60
-23,-3,61
-23,-3,60
-23,-4,59
-23,-4,60
-23,-4,60
-23,-4,59
-22,-6,60
-23,-4,59
-22,-3,59
-22,-3,60
-22,-2,60
-22,-3,60
-22,-4,60
-22,-4,60
-22,-5,60
-23,-4,60
-22,-3,60
-23,-3,60
-23,-3,61
-21,-2,62
-22,-8,58
-23,-7,58
-23,-4,57
-23,-4,55
-24,-3,58
-24,-3,60
-26,-4,63
-28,-16,60
-28,-20,56
-26,-18,58
-24,-16,63
-22,-11,61
-22,-9,58
-22,-4,58
-21,-1,58
-23,-4,58
-23,-3,59
-24,-4,60
-26,-6,57
-25,-7,58
-25,-8,59
-26,-9,58
-26,-10,56
-26,-9,56
-27,-8,57
-27,-9,56
-26,-8,57
-26,-8,58
-26,-10,57
-26,-7,58
-26,-6,58
-26,-8,59
-28,-5,58
-26,-9,59
-25,-7,57
-26,-10,58
